,link,price,field_carat_weight,field_brand,field_metal,field_ring_size,field_marketplace,field_shape,field_ring_center_stone_weight,field_clarity,field_cut,field_certification,field_lab_grown_diamond,field_ring_karat,field_color,field_certificate_number,field_ring_side_stone_weight,field_clarity_side_stone,field_clarity_enhanced,field_gender,field_vip_listing,field_diamonds_weight,field_wedding_bands_style,field_kind,field_stone,field_carat_weight_open,field_jewelry_bracelets_style,field_type_jewelry,field_material,field_jewelry_style
0,https://www.idonowidont.com/diamonds/charles-covard-lab-created-engagment-ring-730982,$800.00,Carat:1.01 - 2.00 ct,Brand:Forever One,Metal Type:White Gold,Ring size:7.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.00ct,Center stone clarity:FL,Cut:Excellent,Certification:OTHER,Lab-Grown Diamond:Lab-Grown Diamond,,,,,,,,,,,,,,,,,
1,https://www.idonowidont.com/diamonds/diamond-engagement-wedding-ring-set-730980,"$1,500.00",Carat:0.0 - 1.0 ct,Brand:Kay Jewelers,Metal Type:White Gold,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:0.25ct,,,,,Karat:10k,,,,,,,,,,,,,,,,
2,https://www.idonowidont.com/diamonds/women%E2%80%99s-diamond-and-morganite-engagement-ring-730978,"$1,000.00",Carat:1.01 - 2.00 ct,,Metal Type:Rose Gold,Ring size:7.50,Marketplace: Pre-OwnedEngagement Rings,,Center stone weight:1.00ct,,,,,,,,,,,,,,,,,,,,,
3,https://www.idonowidont.com/diamonds/119-ct-diamond-engagement-ring-730975,"$6,500.00",Carat:1.01 - 2.00 ct,,,Ring size:6.25,Marketplace: Pre-OwnedEngagement Rings,Shape:Cushion,Center stone weight:1.19ct,Center stone clarity:SI2,Cut:Very Good,,,,Center Stone Color:G,,,,,,,,,,,,,,,
4,https://www.idonowidont.com/diamonds/engagement-ring-wedding-band-ring-guard-730974,"$5,500.00",Carat:0.0 - 1.0 ct,,Metal Type:Platinum,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:0.62ct,Center stone clarity:SI2,Cut:Excellent,Certification:GIA,,,Center Stone Color:F,,,,,,,,,,,,,,,
5,https://www.idonowidont.com/diamonds/triangular-brilliant-cut-diamond-ring-platinum-band-beautiful-rare-730973,"$4,955.00",Carat:2.01 - 3.00 ct,,Metal Type:Platinum,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Radiant,Center stone weight:1.52ct,Center stone clarity:VS2,Cut:Good,Certification:EGL,,,Center Stone Color:J,Certificate #:19901802D,,,,,,,,,,,,,,
6,https://www.idonowidont.com/diamonds/pear-shaped-engagement-ring-730957,$900.00,Carat:4.00 ct or more,Brand:Kay Jewelers,Metal Type:Yellow Gold,Ring size:8.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Pear,Center stone weight:1.00ct,,,Certification:OTHER,,Karat:14k,,,,,,,,,,,,,,,,
7,https://www.idonowidont.com/diamonds/tungsten-carbide-ring-730969,$200.00,,,Metal Type:Other Metals,Ring size:7.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Oval,Center stone weight:0.01ct,,,,,,,,,,,,,,,,,,,,,
8,https://www.idonowidont.com/diamonds/princess-cut-ring-730967,"$5,000.00",Carat:1.01 - 2.00 ct,,Metal Type:White Gold,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:0.95ct,Center stone clarity:I1,Cut:Very Good,Certification:OTHER,,Karat:14k,Center Stone Color:H,,Side stone weights (if applicable):0.76ct,Side stone clarity:I1,,,,,,,,,,,,
9,https://www.idonowidont.com/diamonds/gia-certificated-ashcroft-oak-setting-gabriel-and-co-730968,"$4,000.00",Carat:0.0 - 1.0 ct,Brand:Gabriel & Co,Metal Type:Yellow Gold,Ring size:6.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:0.96ct,Center stone clarity:VS2,Cut:Excellent,Certification:GIA,,Karat:14k,Center Stone Color:I,Certificate #:2195416966,Side stone weights (if applicable):0.10ct,Side stone clarity:VS2,,,,,,,,,,,,
10,https://www.idonowidont.com/diamonds/helzberg-pave-band-730966,"$1,500.00",Carat:1.01 - 2.00 ct,Brand:Helzberg,Metal Type:White Gold,,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:2.00ct,Center stone clarity:SI1,,,,Karat:14k,,,,,,,,,,,,,,,,
11,https://www.idonowidont.com/diamonds/gia-certified-fancy-yellow-diamond-engagement-ring-730965,"$8,400.00",Carat:0.0 - 1.0 ct,,Metal Type:Platinum,Ring size:5.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Radiant,Center stone weight:0.73ct,,,Certification:GIA,,,Center Stone Color:Other,Certificate #:12792245,Side stone weights (if applicable):0.55ct,,,,,,,,,,,,,
12,https://www.idonowidont.com/diamonds/stunning-357-carat-emerald-cut-center-stone-730964,"$57,000.00",Carat:3.01 - 4.00 ct,,Metal Type:White Gold,Ring size:5.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Emerald,Center stone weight:3.57ct,Center stone clarity:VVS1,Cut:Very Good,Certification:GIA,,Karat:14k,Center Stone Color:H,Certificate #:Will provide,Side stone weights (if applicable):0.87ct,Side stone clarity:VVS2,,,,,,,,,,,,
13,https://www.idonowidont.com/diamonds/14k-white-gold-diamond-engagement-ring-12-ct-tw-730962,"$1,300.00",Carat:0.0 - 1.0 ct,Brand:Robbins Brothers,Metal Type:White Gold,Ring size:5.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:0.30ct,Center stone clarity:I1,Cut:Good,,,Karat:14k,Center Stone Color:I,Certificate #:https://www.robbinsbrothers.com/0384860-14k-white-gold-diamond-engagement-ring-1-2-carat-total-weight1639556107,Side stone weights (if applicable):0.20ct,Side stone clarity:SI2,,,,,,,,,,,,
14,https://www.idonowidont.com/diamonds/15ct-forever-one-round-moissanite-ring-730961,$550.00,Carat:1.01 - 2.00 ct,Brand:Forever One,Metal Type:White Gold,Ring size:5.50,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.50ct,,,,,Karat:18k,,,,,,,,,,,,,,,,
15,https://www.idonowidont.com/diamonds/radiant-cut-153-730960,"$9,000.00",Carat:1.01 - 2.00 ct,,Metal Type:Rose Gold,Ring size:6.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Radiant,Center stone weight:1.53ct,Center stone clarity:VS1,Cut:Very Good,Certification:GIA,,Karat:14k,Center Stone Color:G,,,,,,,,,,,,,,,
16,https://www.idonowidont.com/diamonds/custom-platinum-radiant-three-stone-ring-730959,"$10,000.00",Carat:1.01 - 2.00 ct,,Metal Type:Platinum,Ring size:5.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Radiant,Center stone weight:0.01ct,,Cut:Excellent,,Lab-Grown Diamond:Lab-Grown Diamond,,,,Side stone weights (if applicable):0.75ct,Side stone clarity:SI1,,,,,,,,,,,,
17,https://www.idonowidont.com/diamonds/double-halo-engagement-ring-730958,"$4,000.00",Carat:1.01 - 2.00 ct,,Metal Type:White Gold,Ring size:7.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Round,Center stone weight:1.22ct,Center stone clarity:I2,Cut:Good,Certification:GIA,,Karat:18k,Center Stone Color:M,,Side stone weights (if applicable):2.75ct,Side stone clarity:SI1,,,,,,,,,,,,
18,https://www.idonowidont.com/diamonds/robbins-brothers-201-carat-princess-cut-engagement-ring-730956,"$15,000.00",Carat:2.01 - 3.00 ct,Brand:Robbins Brothers,Metal Type:White Gold,Ring size:5.00,Marketplace: Pre-OwnedEngagement Rings,Shape:Princess,Center stone weight:2.01ct,Center stone clarity:SI1,Cut:Very Good,Certification:GIA,,Karat:14k,Center Stone Color:I,Certificate #:1183594520,Side stone weights (if applicable):0.97ct,,,,,,,,,,,,,
